Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Sandslash (Alolan) (Shadow),87.5,28,ice,steel,116.6,132.6,124,1917384,23,Shadow Claw,Ice Punch,Bulldoze,5,8,3,50000
Zweilous,87.5,634,dark,dragon,121,109.2,140,1849588,31,Dragon Breath,Body Slam,Dark Pulse,12,17,5,75000
Hakamo-o,87.4,783,dragon,fighting,115.5,134.8,124,1931380,36.5,Dragon Tail,Dragon Claw,Brick Break,4,4,5,75000
Golbat (Shadow),87.3,42,poison,flying,118.7,113.7,140,1888899,29,Wing Attack,Poison Fang,Shadow Ball,5,8,1,10000
Dragonair (Shadow),87.2,148,dragon,none,126,111,127,1775090,33,Dragon Breath,Body Slam,Aqua Tail,12,12,5,75000
Steelix (Shadow),87.2,208,steel,ground,98.4,185.2,124,2260578,23.5,Dragon Tail,Psychic Fangs,Earthquake,4,8,5,75000
Wigglytuff,87.2,40,normal,fairy,115.8,75.5,220,1924765,29,Charm,Ice Beam,Play Rough,10,10,1,10000
Skarmory (Shadow),87.1,227,steel,flying,106.2,163.1,122,2113576,27,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Dragonite,87,149,dragon,flying,135.8,108.4,111,1633580,14.5,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Togedemaru,86.9,777,electric,steel,132.1,105.6,121,1688198,26,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Jumpluff,86.8,189,grass,flying,97,153.5,155,2308399,41,Fairy Wind,Acrobatics,Energy Ball,7,7,3,50000
Sableye (Shadow),86.8,302,dark,ghost,121,123.5,124,1853355,45.5,Shadow Claw,Foul Play,Power Gem,6,8,5,75000
Dewgong,86.6,87,water,ice,102.9,133.8,158,2174933,29,Ice Shard,Icy Wind,Water Pulse,5,6,3,50000
Lucario,86.6,448,fighting,steel,145.8,95.6,110,1532231,20.5,Counter,Power-Up Punch,Shadow Ball,5,8,5,75000
Ninetales (Alolan),86.6,38,ice,fairy,115.1,133.6,126,1936253,24.5,Charm,Weather Ball (Ice),Psyshock,6,8,3,50000
Snorlax (Shadow),86.6,143,normal,none,108.4,101.7,187,2061936,17.5,Lick,Body Slam,Superpower,12,14,5,75000
Machamp,86.5,68,fighting,none,136.4,97.2,124,1644073,17.5,Counter,Cross Chop,Rock Slide,5,7,3,50000
Obstagoon,86.5,862,dark,normal,112.6,126.7,138,1969669,21,Counter,Night Slash,Cross Chop,5,5,3,10000
Tapu Fini,86.5,788,water,fairy,115.3,155.3,108,1934126,20,Water Gun,Surf,Moonblast,14,20,20,100000
Zangoose,86.5,335,normal,none,144.8,87.1,122,1539050,23,Shadow Claw,Close Combat,Night Slash,6,5,3,50000
Noctowl,86.3,164,normal,flying,105.3,120.2,167,2113724,28,Wing Attack,Sky Attack,Shadow Ball,7,8,1,10000
Araquanid,86.2,752,water,bug,97.9,176.1,133,2292389,33.5,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Granbull (Shadow),86.2,210,fairy,none,135.3,87.7,139,1650182,22,Charm,Close Combat,Crunch,8,8,3,50000
Gourgeist (Super),86.1,711,ghost,grass,115.8,128.8,130,1939976,21.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Quagsire,86.1,195,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Earthquake,Stone Edge,8,7,3,50000
Regice,86.1,378,ice,none,103.7,180.2,115,2149641,18,Lock On,Thunder,Blizzard,12,15,20,100000
Jumpluff (Shadow),86,189,grass,flying,97,153.5,155,2308399,41,Fairy Wind,Acrobatics,Energy Ball,7,7,3,50000
Politoed (Shadow),86,186,water,none,114.7,121.7,140,1954251,23,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Qwilfish (Hisuian),86,211,dark,poison,129.5,111.3,120,1729959,25.5,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Dragonair,85.9,148,dragon,none,126,111,127,1775090,33,Dragon Breath,Aqua Tail,Body Slam,12,12,5,75000
Golbat,85.9,42,poison,flying,118.7,113.7,140,1888899,29,Wing Attack,Poison Fang,Shadow Ball,5,8,1,10000
Meganium,85.9,154,grass,none,111.5,138.4,130,2005358,23,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Mew,85.8,151,psychic,none,120.5,119.4,129,1855163,16.5,Shadow Claw,Wild Charge,Surf,6,5,20,100000
Galvantula,85.7,596,bug,electric,139,93.8,124,1615746,25.5,Volt Switch,Discharge,Lunge,3,3,3,50000
Flygon (Shadow),85.6,330,ground,dragon,129.2,109.6,123,1740871,21,Dragon Tail,Dragon Claw,Earth Power,4,7,5,75000
Marowak (Alolan) (Shadow),85.6,105,fire,ghost,110.8,145,126,2025310,32,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Munchlax,85.6,446,normal,none,104,95.2,218,2158275,31,Tackle,Body Slam,Bulldoze,12,20,5,10000
Pachirisu,85.5,417,electric,none,91.6,157.1,142,2043738,50,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Pelipper,85.5,279,water,flying,123.3,128.7,114,1809463,26,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Perrserker,85.4,863,steel,none,128.9,114.6,117,1728225,23.5,Shadow Claw,Close Combat,Foul Play,6,6,3,50000
Gardevoir (Shadow),85.3,282,psychic,fairy,137.2,114.5,104,1633015,18,Charm,Synchronoise,Shadow Ball,9,10,5,75000
Lickilicky,85.3,463,normal,none,106.3,121.1,164,2111832,23,Lick,Body Slam,Shadow Ball,12,19,3,50000
Meganium (Shadow),85.2,154,grass,none,111.5,138.4,130,2005358,23,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Buzzwole,85.1,794,bug,fighting,129.3,112.7,119,1735016,16,Counter,Superpower,Lunge,6,7,20,100000
Lapras,85.1,131,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Escavalier,84.9,589,bug,steel,133.9,116.8,107,1673454,19.5,Counter,Drill Run,Megahorn,7,8,3,50000
Gourgeist (Large),84.9,711,ghost,grass,116.6,136.9,121,1930877,22.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Castform (Rainy),84.8,351,water,none,113.4,119.6,146,1979669,38.5,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Zapdos (Shadow),84.7,145,electric,flying,136.2,104.7,115,1639560,15.5,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Aurorus,84.6,699,rock,ice,114.1,105.7,163,1966639,20,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Gourgeist (Average),84.6,711,ghost,grass,116.6,147,112,1919131,23.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Overqwil,84.6,904,dark,poison,131.6,106.6,121,1696708,19,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Sandslash (Alolan),84.6,28,ice,steel,116.6,132.6,124,1917384,23,Shadow Claw,Ice Punch,Bulldoze,5,8,3,50000
Sirfetch'd,84.6,865,fighting,none,145.9,107.4,98,1536689,18.5,Counter,Leaf Blade,Night Slash,5,5,3,50000
Clefable,84.5,36,fairy,none,117.2,111.5,146,1908090,23,Charm,Moonblast,Meteor Mash,10,9,1,10000
Toxicroak,84.5,454,poison,fighting,136.6,91.5,131,1636876,22,Counter,Mud Bomb,Sludge Bomb,6,8,3,50000
Venusaur (Shadow),84.5,3,grass,poison,122.5,121.9,122,1820851,20,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Aromatisse,84.4,683,fairy,none,116.5,108,153,1924550,24,Charm,Moonblast,Psychic,10,10,3,50000
Jellicent,84.4,593,water,ghost,106.7,124.3,157,2082451,24,Hex,Bubble Beam,Shadow Ball,4,5,3,50000
Venusaur,84.4,3,grass,poison,122.5,121.9,122,1820851,20,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Blastoise,84.3,9,water,none,111.5,140.7,127,1992357,22.5,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Sneasler,84.3,903,fighting,poison,146,95.3,110,1529893,17,Shadow Claw,Close Combat,X-Scissor,6,5,5,75000
Forretress,84.2,205,bug,steel,110.2,141.6,130,2028758,25,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Gourgeist (Small),84.2,711,ghost,grass,117,153.4,106,1903085,24.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Lapras (Shadow),84.2,131,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Ninetales (Shadow),84.1,38,fire,none,115.1,133.6,126,1936253,24.5,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Slurpuff,84.1,685,fairy,none,117.4,118.1,138,1912211,25.5,Charm,Flamethrower,Energy Ball,10,10,3,50000
Amaura,84,698,rock,ice,114.3,104.2,164,1952869,50,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Excadrill,84,530,ground,steel,142.7,78.8,139,1561805,17,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Shiftry (Shadow),84,275,grass,dark,134.2,87.7,142,1670632,24,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Victini,84,494,psychic,fire,120.5,119.4,129,1855163,16.5,Quick Attack,V-Create,Psychic,5,7,20,100000
Ferrothorn,83.9,598,grass,steel,107.3,155.1,125,2080828,24,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Samurott,83.9,503,water,none,129,102.2,132,1740020,20,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Whimsicott,83.9,547,grass,fairy,118.4,133.1,119,1875239,27.5,Charm,Grass Knot,Moonblast,9,10,1,10000
Zapdos,83.9,145,electric,flying,136.2,104.7,115,1639560,15.5,Thunder Shock,Drill Peck,Thunder,5,7,20,100000
Gliscor,83.8,472,ground,flying,115.7,143.9,116,1930695,21,Wing Attack,Earthquake,Night Slash,10,5,5,75000
Serperior,83.7,497,grass,none,110.2,143.6,128,2025814,25,Vine Whip,Frenzy Plant,Aerial Ace,6,6,3,10000
Empoleon,83.6,395,water,steel,125.8,115.9,122,1777988,19,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Sylveon,83.6,700,fairy,none,118.9,121.2,131,1888899,18.5,Charm,Moonblast,Psyshock,10,8,5,75000
Togekiss,83.6,468,fairy,flying,124.8,125.3,114,1783452,16.5,Charm,Ancient Power,Flamethrower,8,10,3,50000
Ninetales,83.5,38,fire,none,115.1,133.6,126,1936253,24.5,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Pangoro,83.3,675,fighting,dark,134.5,92,134,1658196,19,Snarl,Close Combat,Night Slash,4,3,3,50000
Spritzee,83.3,682,fairy,none,105,107.6,168,1898008,50,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
Chesnaught,83.1,652,grass,fighting,119.9,124.6,125,1868328,19,Vine Whip,Superpower,Energy Ball,5,7,3,10000
Politoed,83.1,186,water,none,114.7,121.7,140,1954251,23,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Stunfisk,83.1,618,ground,electric,101.8,127.9,169,2200089,26.5,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Marshtomp,83,259,water,ground,120.3,108.9,142,1860776,35,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Raikou (Shadow),83,243,electric,none,130.9,110.1,118,1700490,16,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Sealeo,83,364,ice,water,108.6,113.2,167,2053854,36.5,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Zapdos (Galarian),83,145,fighting,flying,135.2,106.2,115,1651425,15.5,Counter,Ancient Power,Brave Bird,7,8,20,100000
Sealeo (Shadow),82.9,364,ice,water,108.6,113.2,167,2053854,36.5,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Blaziken,82.8,257,fire,fighting,144.4,90.8,118,1547820,19,Counter,Blaze Kick,Stone Edge,6,8,3,10000
Drapion (Shadow),82.8,452,poison,dark,118.5,136.5,117,1892269,23,Poison Sting,Crunch,Sludge Bomb,5,6,5,75000
Drifblim,82.8,426,ghost,flying,119.8,75,208,1867826,23,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Falinks,82.8,870,fighting,none,128.2,119.8,113,1735815,23.5,Counter,Superpower,Megahorn,6,8,5,75000
Hitmonchan (Shadow),82.7,107,fighting,none,128.2,137.3,98,1725104,23.5,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Quagsire (Shadow),82.7,195,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Earthquake,Stone Edge,8,7,3,50000
Shiftry,82.7,275,grass,dark,134.2,87.7,142,1670632,24,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Hitmontop,82.6,237,fighting,none,121.7,151.3,100,1841514,26.5,Counter,Close Combat,Stone Edge,7,8,5,75000
Marshtomp (Shadow),82.6,259,water,ground,120.3,108.9,142,1860776,35,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Beedrill,82.4,15,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Primeape,82.4,57,fighting,none,140.2,99.2,115,1598880,24.5,Counter,Night Slash,Close Combat,5,7,3,50000
Bewear,82.3,760,normal,fighting,130.4,85.6,154,1717970,18,Shadow Claw,Superpower,Stomp,5,5,1,10000
Dragalge,82.3,691,poison,dragon,117.9,139.9,115,1895881,23.5,Dragon Tail,Aqua Tail,Gunk Shot,4,9,3,50000
Hitmonchan,82.3,107,fighting,none,128.2,137.3,98,1725104,23.5,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Hypno,82.2,97,psychic,none,103.7,140.8,148,2160673,27.5,Confusion,Shadow Ball,Thunder Punch,5,4,3,50000
Raticate (Alolan),82.2,20,dark,normal,107.5,130.7,148,2078413,37,Quick Attack,Crunch,Return,6,9,1,10000
Articuno,82.1,144,ice,flying,113.2,143.6,122,1983584,18.5,Ice Shard,Icy Wind,Ancient Power,5,5,20,100000
Flygon,82.1,330,ground,dragon,129.2,109.6,123,1740871,21,Mud Shot,Dragon Claw,Earth Power,4,7,5,75000
Gligar,82.1,207,ground,flying,108,146.2,130,2052969,30.5,Wing Attack,Night Slash,Return,5,10,5,75000
Gliscor (Shadow),82.1,472,ground,flying,115.7,143.9,116,1930695,21,Wing Attack,Earthquake,Night Slash,10,5,5,75000
Dunsparce,82,206,normal,none,104.8,111,183,2127733,37.5,Rollout,Drill Run,Rock Slide,4,4,3,50000
Skuntank (Shadow),82,435,poison,dark,121.7,95.2,157,1819546,23.5,Poison Jab,Crunch,Flamethrower,7,8,3,50000
Vullaby,82,629,dark,flying,100.8,129.4,157,2048662,50,Feint Attack,Brave Bird,Foul Play,10,8,5,75000
Machoke,81.9,67,fighting,none,127.7,97.2,141,1750103,27,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Talonflame,81.9,663,fire,flying,122.1,114.7,131,1834291,25.5,Incinerate,Brave Bird,Flame Charge,3,3,1,10000
Goodra,81.8,706,dragon,none,119.7,136.8,114,1866601,16,Dragon Breath,Power Whip,Muddy Water,17,12,5,75000
Granbull,81.8,210,fairy,none,135.3,87.7,139,1650182,22,Charm,Close Combat,Crunch,8,8,3,50000
Machoke (Shadow),81.8,67,fighting,none,127.7,97.2,141,1750103,27,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Gengar,81.7,94,ghost,poison,156.6,94.3,97,1433181,19,Shadow Claw,Shadow Ball,Shadow Punch,7,5,3,50000
Bellossom (Shadow),81.6,182,grass,none,115.7,132.9,126,1937741,24.5,Bullet Seed,Leaf Blade,Dazzling Gleam,3,6,3,50000
Blastoise (Shadow),81.6,9,water,none,111.5,140.7,127,1992357,22.5,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Miltank,81.6,241,normal,none,105.4,135.5,148,2112476,24,Rollout,Body Slam,Ice Beam,3,5,5,75000
Bellossom,81.5,182,grass,none,115.7,132.9,126,1937741,24.5,Bullet Seed,Leaf Blade,Return,3,6,3,50000
Cradily,81.5,346,rock,grass,106.3,139,143,2111521,26,Bullet Seed,Stone Edge,Grass Knot,5,4,3,50000
Magnezone (Shadow),81.5,462,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Pidgeot,81.5,18,normal,flying,117.2,113.8,143,1905836,26,Gust,Feather Dance,Brave Bird,5,5,1,10000
Grimer (Shadow),81.4,88,poison,none,121.5,88,171,1827419,49.5,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Primarina,81.4,730,water,fairy,131.9,116.8,110,1694382,17.5,Charm,Moonblast,Psychic,10,10,3,10000
Probopass,81.4,476,rock,steel,96.8,200,119,2305422,28,Spark,Rock Slide,Thunderbolt,6,7,3,50000
Poliwrath (Shadow),81.3,62,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Dynamic Punch,Ice Punch,6,5,3,50000
Nidorina (Shadow),81.2,30,poison,none,110.9,113.4,157,1975496,50,Poison Sting,Poison Fang,Sludge Bomb,4,6,3,50000
Skuntank,81.2,435,poison,dark,121.7,95.2,157,1819546,23.5,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Jirachi,81.1,385,steel,psychic,120.5,119.4,129,1855163,16.5,Confusion,Doom Desire,Psychic,4,5,20,100000
Luxray (Shadow),81.1,405,electric,none,138,99,118,1611912,19,Spark,Wild Charge,Psychic Fangs,6,5,5,75000
Qwilfish,81.1,211,water,poison,130.5,105.5,123,1693578,27,Poison Sting,Aqua Tail,Sludge Wave,4,8,3,50000
Grimer (Alolan),81,88,poison,dark,123.6,86,171,1818779,49,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Druddigon,80.9,621,dragon,none,131.4,110.5,117,1699459,20,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Piloswine,80.9,221,ice,ground,121.1,98.2,155,1842165,24,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Raikou,80.9,243,electric,none,130.9,110.1,118,1700490,16,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Tyrunt,80.9,696,rock,dragon,127.6,106.3,129,1749486,39.5,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Alomomola,80.8,594,water,none,96.7,98.8,240,2292831,26,Waterfall,Psychic,Hydro Pump,7,10,5,75000
Gallade (Shadow),80.7,475,psychic,fighting,137.2,114.5,104,1633015,18,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Genesect,80.7,649,bug,steel,141.1,111.7,100,1575465,16,Fury Cutter,X-Scissor,Techno Blast (Normal),9,14,20,100000
Victreebel (Shadow),80.7,71,grass,poison,135.8,94.8,128,1648364,23,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Drapion,80.6,452,poison,dark,118.5,136.5,117,1892269,23,Poison Sting,Crunch,Sludge Bomb,5,6,5,75000
Haunter,80.6,93,ghost,poison,161.2,85.5,100,1378532,28,Shadow Claw,Shadow Punch,Shadow Ball,5,7,3,50000
Linoone,80.6,264,normal,none,114.6,112.2,152,1953755,39,Shadow Claw,Grass Knot,Thunder,7,8,1,10000
Bayleef (Shadow),80.5,153,grass,none,105.6,141.6,141,2107468,49.5,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Chansey,80.5,113,normal,none,63,120.2,421,3188219,50,Zen Headbutt,Psychic,Hyper Beam,10,14,5,75000
Hariyama,80.5,297,fighting,none,125.6,75.5,186,1764581,19.5,Counter,Close Combat,Heavy Slam,7,8,3,50000
Magnezone,80.5,462,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Sneasel (Hisuian),80.5,215,fighting,poison,135.5,110.7,110,1649923,26.5,Poison Jab,Close Combat,X-Scissor,7,5,3,50000
Zebstrika,80.5,523,electric,none,137.7,95.5,123,1617244,23,Spark,Wild Charge,Flame Charge,6,7,3,50000
Avalugg,80.4,713,ice,none,112.9,142.5,124,1994682,17.5,Ice Fang,Avalanche,Body Slam,9,7,3,50000
Dusclops (Shadow),80.4,356,ghost,none,103.1,198.9,106,2173343,43,Hex,Fire Punch,Shadow Punch,4,3,3,50000
Pinsir (Shadow),80.4,127,bug,none,141.3,111.5,101,1591266,18.5,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Castform (Sunny),80.3,351,fire,none,113.4,119.6,146,1979669,38.5,Ember,Weather Ball (Fire),Solar Beam,6,14,5,75000
Electrode (Hisuian),80.3,101,electric,grass,123.3,130.1,113,1812571,26,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Sceptile,80.3,254,grass,none,136.9,108.5,110,1633945,19.5,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Scizor (Shadow),80.2,212,bug,steel,137.9,110.3,106,1612512,18.5,Bullet Punch,Night Slash,Iron Head,5,8,5,75000
Farfetch'd (Galarian),80.1,83,fighting,none,137.9,97.8,120,1618657,36.5,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Greedent,80.1,820,normal,none,107.5,110.7,175,2083197,23.5,Bullet Seed,Body Slam,Crunch,3,4,1,10000
Marowak (Alolan),80.1,105,fire,ghost,110.8,145,126,2025310,32,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Relicanth,80.1,369,water,rock,105.2,137.5,147,2126096,22.5,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Seviper,80.1,336,poison,none,138.8,89.5,130,1616076,27,Poison Jab,Poison Fang,Crunch,5,7,3,50000
Dedenne,80,702,electric,fairy,124.2,108.7,133,1795844,30.5,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Gardevoir,80,282,psychic,fairy,137.2,114.5,104,1633015,18,Charm,Synchronoise,Shadow Ball,9,10,5,75000
