"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Ninetales","Fire Spin","Weather Ball Fire","11.744","320.8","519.6","2279"
"Rapidash","Fire Spin","Fire Blast","12.379","270.7","513.4","2461"
"Togekiss","Hidden Power (Fire)","Flamethrower","10.77","369.3","461.4","3332"
"Magmar","Ember","Flamethrower","12.16","253.9","456.5","2394"
"Centiskorch","Ember","Heat Wave","11.049","318.3","429.4","2990"
"Camerupt","Incinerate","Overheat","12.133","237.8","424.7","2193"
"Turtonator","Fire Spin","Overheat","10.915","296.2","385.1","2223"
"Shadow Charmeleon","Fire Fang","Flamethrower","12.808","173.4","364.3","1653"
"Talonflame","Fire Spin","Fire Blast","10.795","256","322","2205"
"Torkoal","Fire Spin","Overheat","10.164","287.5","301.9","2093"
"Pignite","Ember","Flamethrower","10.827","201.8","256.2","1924"
"Shadow Quilava","Ember","Flamethrower","11.727","158.7","256","1653"
"Shadow Alolan Marowak","Fire Spin","Fire Blast","10.653","210.5","254.5","1835"
"Shadow Shelgon","Ember","Flamethrower","10.486","183.5","211.6","2031"
"Charmeleon","Fire Fang","Flamethrower","10.616","172.4","206.3","1653"
"Raboot","Ember","Flamethrower","10.388","179.6","201.4","1824"
"Braixen","Ember","Flamethrower","10.377","175.4","196","1813"
"Torracat","Ember","Flamethrower","10.762","156.9","195.6","1710"
"Castform (Sunny)","Ember","Weather Ball Fire","9.572","191.3","167.7","1632"
"Combusken","Ember","Flamethrower","10.041","154","155.9","1652"
"Alolan Marowak","Fire Spin","Fire Blast","8.94","212","151.5","1835"
"Coalossal","Incinerate","Flame Charge","7.884","299.5","146.7","2352"
"Shadow Houndour","Ember","Flamethrower","11.583","93.9","145.9","1234"
"Quilava","Ember","Flamethrower","9.693","157.4","143.4","1653"
"Darumaka","Fire Fang","Fire Punch","10.168","133.3","140.1","1442"
"Monferno","Ember","Flamethrower","9.865","145.4","139.6","1574"
"Lampent","Ember","Flame Burst","9.745","149.5","138.3","1708"
"Magcargo","Incinerate","Overheat","8.813","191.5","131.1","1702"
"Litleo","Fire Fang","Flamethrower","9.583","146.1","128.6","1425"
"Shadow Growlithe","Ember","Flamethrower","10.536","105.9","123.9","1243"
"Shelgon","Ember","Flamethrower","8.689","182.5","119.7","2031"
"Ponyta","Ember","Fire Blast","9.363","140.2","115.1","1697"
"Magby","Ember","Flamethrower","9.365","105.9","87","1323"
"Hisuian Growlithe","Ember","Flamethrower","9.06","114.4","85.1","1322"
"Houndour","Ember","Flamethrower","9.542","92.8","80.6","1234"
"Growlithe","Ember","Flamethrower","8.683","104.8","68.6","1243"
"Larvesta","Ember","Flame Charge","8.3","113.1","64.7","1496"
"Salandit","Ember","Flamethrower","8.728","85.7","57","1122"
"Fletchinder","Ember","Flame Charge","7.788","116.9","55.2","1469"
"Shadow Charmander","Ember","Flamethrower","9.002","74.8","54.6","980"
"Shadow Cyndaquil","Ember","Flamethrower","9.002","74.8","54.6","980"
"Scorbunny","Ember","Flamethrower","8.533","84.6","52.6","1097"
"Shadow Vulpix","Ember","Weather Ball Fire","8.521","80","49.5","883"
"Shadow Bagon","Ember","Flamethrower","8.625","77","49.4","1156"
"Torchic","Ember","Flamethrower","8.307","84.1","48.2","1093"
"Litten","Ember","Flamethrower","8.259","77","43.4","1035"
"Tepig","Ember","Flamethrower","7.649","94.5","42.3","1083"
"Carkol","Incinerate","Flame Charge","6.38","156.1","40.6","1512"
"Fennekin","Ember","Flamethrower","7.421","81.3","33.2","1028"
"Charmander","Ember","Flamethrower","7.454","74.3","30.8","980"
"Cyndaquil","Ember","Flamethrower","7.454","74.3","30.8","980"
"Shadow Numel","Ember","Heat Wave","7.568","69.9","30.3","1057"
"Chimchar","Ember","Flamethrower","7.381","73.5","29.5","957"
"Bagon","Ember","Flamethrower","7.136","76.5","27.8","1156"
"Vulpix","Ember","Weather Ball Fire","7.033","79.3","27.6","883"
"Pansear","Fire Spin","Flame Burst","6.904","79.4","26.1","956"
"Litwick","Ember","Flame Burst","6.656","79.3","23.4","1006"
"Slugma","Ember","Flame Burst","7.249","58.4","22.2","895"
"Numel","Ember","Heat Wave","6.367","70.6","18.2","1057"
"Sizzlipede","Ember","Heat Wave","6.227","69","16.7","1049"
