"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Flygon","Dragon Tail","Dragon Claw","13.193","343.5","788.8","2661"
"Kingdra","Dragon Breath","Outrage","12.736","362.1","747.9","2641"
"Fraxure","Dragon Tail","Dragon Claw","13.829","238.4","630.5","2234"
"Dracozolt","Dragon Tail","Dragon Pulse","12.089","335.2","592.2","2621"
"Mew","Dragon Tail","Dragon Claw","11.198","419.6","589.3","3265"
"Dragalge","Dragon Tail","Outrage","11.881","325.8","546.4","2383"
"Charizard","Dragon Breath","Dragon Claw","11.642","305.3","481.7","2889"
"Shadow Shelgon","Dragon Breath","Dragon Pulse","12.706","222.4","456.1","2031"
"Dracovish","Dragon Breath","Dragon Pulse","10.699","329.7","403.8","2500"
"Shadow Dragonair","Dragon Breath","Dragon Pulse","12.21","181.1","329.7","1780"
"Shadow Seadra","Dragon Breath","Dragon Pulse","11.441","182.2","272.8","2093"
"Drakloak","Dragon Tail","Outrage","11.503","176.3","268.3","1651"
"Shelgon","Dragon Breath","Dragon Pulse","10.567","221.9","261.8","2031"
"Tyrunt","Dragon Tail","Dragon Claw","10.603","168.6","200.9","1635"
"Zweilous","Dragon Breath","Dragon Pulse","9.974","198.3","196.8","1839"
"Dragonair","Dragon Breath","Dragon Pulse","10.146","180.6","188.7","1780"
"Altaria","Dragon Breath","Dragon Pulse","8.834","259.5","178.9","2004"
"Hakamo-o","Dragon Tail","Dragon Claw","9.663","191.1","172.4","1686"
"Seadra","Dragon Breath","Dragon Pulse","9.535","182.2","157.9","2093"
"Deino","Dragon Breath","Dragon Pulse","7.755","90.7","42.3","1062"
"Jangmo-o","Dragon Tail","Dragon Claw","7.317","89.3","35","969"
"Shadow Dratini","Dragon Breath","Twister","7.41","61.8","25.1","1004"
"Dratini","Dragon Breath","Twister","6.229","62.3","15.1","1004"
