"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mantine","Wing Attack","Aerial Ace","8.462","251.9","152.6","2108"
"Swoobat","Air Slash","Aerial Ace","9.401","159.1","132.2","1716"
"Mandibuzz","Air Slash","Aerial Ace","7.553","296.4","127.7","2138"
"Tropius","Air Slash","Aerial Ace","7.998","235.1","120.3","1941"
"Golbat","Wing Attack","Air Cutter","8.51","191","117.7","1976"
"Gligar","Wing Attack","Aerial Ace","8.294","203.9","116.3","1857"
"Staravia","Wing Attack","Brave Bird","9.854","120","114.8","1299"
"Doduo","Peck","Drill Peck","10.587","90.7","107.7","1200"
"Corvisquire","Air Slash","Drill Peck","8.898","142","100","1363"
"Yanma","Wing Attack","Aerial Ace","9.244","124.5","98.3","1470"
"Togetic","Hidden Power (Flying)","Aerial Ace","7.766","170.1","79.7","1708"
"Fletchinder","Peck","Aerial Ace","8.465","127","77","1469"
"Natu","Peck","Drill Peck","9.156","89.2","68.5","1102"
"Pikipek","Peck","Sky Attack","9.891","64","61.9","910"
"Vullaby","Air Slash","Brave Bird","7.349","146.9","58.3","1271"
"Farfetch'd","Air Slash","Aerial Ace","7.465","105.1","43.7","1236"
"Pidgeotto","Wing Attack","Aerial Ace","7.236","105.5","40","1194"
"Shadow Ducklett","Wing Attack","Brave Bird","7.711","85.6","39.3","856"
"Spearow","Peck","Sky Attack","8.467","59.5","36.1","798"
"Woobat","Air Slash","Aerial Ace","6.782","83.8","26.1","1016"
"Karrablast","Peck","Aerial Ace","6.86","73.8","23.8","1182"
"Ducklett","Wing Attack","Brave Bird","6.491","86.5","23.7","856"
"Pidove","Air Slash","Aerial Ace","6.287","63","15.7","848"
"Taillow","Peck","Aerial Ace","6.731","47.9","14.6","765"
"Rookidee","Air Slash","Drill Peck","6.637","49.5","14.5","666"
"Fletchling","Peck","Aerial Ace","6.023","56.8","12.4","800"
"Hoothoot","Peck","Sky Attack","5.557","67.5","11.6","677"
"Swablu","Peck","Aerial Ace","4.863","70.9","8.2","824"
"Noibat","Wing Attack","Air Cutter","5.007","41.3","5.2","667"
