"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Relicanth","Water Gun","Hydro Pump","10.14","368.2","383.9","2528"
"Grapploct","Waterfall","Surf","11.097","279.4","381.9","2664"
"Goodra","Water Gun","Muddy Water","9.909","392.3","381.6","3505"
"Huntail","Water Gun","Aqua Tail","11.475","248.7","375.8","2340"
"Walrein","Waterfall","Water Pulse","10.066","342.9","349.8","2726"
"Drizzile","Water Gun","Surf","12.153","192.2","344.9","1894"
"Seismitoad","Bubble","Muddy Water","10.435","296.3","336.6","2564"
"Ludicolo","Bubble","Hydro Pump","10.491","285.1","329.2","2323"
"Basculin","Water Gun","Aqua Tail","11.36","212.3","311.3","2090"
"Gorebyss","Water Gun","Water Pulse","10.935","237","309.9","2494"
"Seadra","Water Gun","Hydro Pump","11.209","214.2","301.6","2093"
"Cramorant","Water Gun","Hydro Pump","10.618","245.3","293.6","2142"
"Lanturn","Water Gun","Surf","9.926","296.3","289.7","2085"
"Qwilfish","Water Gun","Aqua Tail","11.026","208.4","279.4","2051"
"Dracovish","Water Gun","Brine","9.748","300.4","278.2","2500"
"Bibarel","Water Gun","Surf","10.824","204.3","259.1","1823"
"Arctovish","Water Gun","Brine","9.558","294.5","257.1","2447"
"Octillery","Water Gun","Water Pulse","10.473","222.2","255.3","2315"
"Slowbro","Water Gun","Water Pulse","9.469","296","251.3","2545"
"Alomomola","Waterfall","Hydro Pump","9.128","326.5","248.3","2169"
"Swanna","Water Gun","Bubble Beam","10.263","205.2","221.8","2088"
"Marshtomp","Water Gun","Surf","10.353","198.8","220.7","1776"
"Seaking","Waterfall","Water Pulse","9.746","224.6","207.9","2162"
"Frogadier","Bubble","Surf","10.955","155.9","205","1636"
"Jellicent","Bubble","Bubble Beam","8.875","285.3","199.4","2338"
"Castform (Rainy)","Water Gun","Weather Ball Water","9.908","198","192.6","1632"
"Dragalge","Water Gun","Hydro Pump","9.08","249","186.4","2383"
"Gastrodon","Hidden Power (Water)","Water Pulse","8.849","251.3","174.1","2324"
"Dewott","Water Gun","Aqua Tail","9.882","176.1","169.9","1741"
"Phione","Bubble","Bubble Beam","9.037","227.6","168","2105"
"Shadow Croconaw","Water Gun","Water Pulse","9.892","159.9","154.7","1722"
"Shadow Omanyte","Water Gun","Bubble Beam","10.492","128.4","148.3","1544"
"Shadow Sealeo","Water Gun","Water Pulse","9.276","175.1","139.7","1714"
"Shadow Wartortle","Water Gun","Hydro Pump","9.587","158.3","139.5","1488"
"Whiscash","Water Gun","Water Pulse","8.389","233.4","137.8","2075"
"Mantine","Bubble","Bubble Beam","8.192","243.9","134.1","2108"
"Prinplup","Bubble","Hydro Pump","9.17","173.5","133.8","1701"
"Brionne","Water Gun","Water Pulse","9.067","171.1","127.5","1885"
"Tirtouga","Water Gun","Surf","8.994","159.8","116.2","1488"
"Krabby","Bubble","Bubble Beam","9.898","111.7","108.3","1561"
"Crabrawler","Bubble","Crabhammer","9.585","116.4","102.4","1363"
"Lumineon","Waterfall","Water Pulse","8.041","191","99.3","1814"
"Shadow Poliwhirl","Bubble","Bubble Beam","9.131","129.7","98.7","1419"
"Croconaw","Water Gun","Water Pulse","8.255","160.1","90","1722"
"Omanyte","Water Gun","Bubble Beam","8.76","128.7","86.5","1544"
"Wartortle","Water Gun","Hydro Pump","8.094","160.4","85.1","1488"
"Pincurchin","Water Gun","Bubble Beam","8.264","150.4","84.9","1931"
"Shadow Psyduck","Water Gun","Aqua Tail","9.627","93.1","83","1106"
"Sealeo","Water Gun","Water Pulse","7.731","175.1","80.9","1714"
"Sliggoo","Water Gun","Muddy Water","7.59","185.1","80.9","2037"
"Clauncher","Water Gun","Crabhammer","8.697","121.1","79.7","1088"
"Azumarill","Bubble","Hydro Pump","7.305","203.2","79.2","1588"
"Wailmer","Water Gun","Water Pulse","8.131","136.8","73.5","1468"
"Sobble","Water Gun","Surf","9.265","91.9","73.1","1097"
"Shadow Horsea","Water Gun","Bubble Beam","9.194","73.4","57","1056"
"Poliwhirl","Bubble","Bubble Beam","7.557","128.8","55.6","1419"
"Shadow Slowpoke","Water Gun","Water Pulse","7.836","113.7","54.7","1226"
"Corphish","Bubble","Bubble Beam","8.131","90.1","48.4","1230"
"Chewtle","Water Gun","Surf","8.173","86.2","47.1","993"
"Psyduck","Water Gun","Aqua Tail","7.973","92.5","46.9","1106"
"Shadow Totodile","Water Gun","Water Pulse","8.092","88.2","46.7","1131"
"Popplio","Water Gun","Aqua Tail","7.815","97.3","46.4","1129"
"Froakie","Bubble","Surf","8.34","77.9","45.2","992"
"Palpitoad","Bubble","Water Pulse","7.166","120.9","44.5","1392"
"Staryu","Water Gun","Bubble Beam","8.012","82.6","42.5","1157"
"Corsola","Bubble","Bubble Beam","6.843","130.7","41.9","1378"
"Oshawott","Water Gun","Aqua Tail","7.799","87.1","41.3","1046"
"Clamperl","Water Gun","Water Pulse","7.379","96.8","38.9","1270"
"Panpour","Water Gun","Surf","7.539","86.7","37.1","956"
"Skrelp","Water Gun","Aqua Tail","7.2","94.2","35.1","1063"
"Shadow Squirtle","Bubble","Aqua Tail","7.393","82.6","33.4","946"
"Horsea","Water Gun","Bubble Beam","7.662","73.4","33","1056"
"Buizel","Water Gun","Water Pulse","7.712","70.7","32.4","1054"
"Slowpoke","Water Gun","Water Pulse","6.524","113.6","31.5","1226"
"Lombre","Bubble","Bubble Beam","6.664","105.3","31.2","1197"
"Totodile","Water Gun","Water Pulse","6.765","88.5","27.4","1131"
"Shadow Spheal","Water Gun","Water Pulse","7.002","79.5","27.3","962"
"Chinchou","Bubble","Bubble Beam","6.493","98.9","27.1","1119"
"Piplup","Bubble","Bubble Beam","6.709","85.5","25.8","1075"
"Shadow Poliwag","Bubble","Bubble Beam","7.494","56.8","23.9","829"
"Mantyke","Bubble","Water Pulse","5.852","112.7","22.6","1248"
"Shadow Ducklett","Water Gun","Bubble Beam","6.675","74.1","22","856"
"Remoraid","Water Gun","Water Pulse","7.321","53.8","21.1","912"
"Seel","Water Gun","Aqua Tail","5.919","99.4","20.6","971"
"Squirtle","Bubble","Aqua Tail","6.132","82.2","18.9","946"
"Shellos","Hidden Power (Water)","Water Pulse","5.812","95.8","18.8","1136"
"Barboach","Water Gun","Aqua Tail","6.497","66.5","18.2","819"
"Tentacool","Bubble","Bubble Beam","5.793","89","17.3","1040"
"Spheal","Water Gun","Water Pulse","5.844","79.6","15.9","962"
"Finneon","Water Gun","Water Pulse","5.763","78.6","15","971"
"Arrokuda","Waterfall","Aqua Jet","6.415","52.7","13.9","903"
"Poliwag","Bubble","Bubble Beam","6.198","56.3","13.4","829"
"Ducklett","Water Gun","Bubble Beam","5.575","74.3","12.9","856"
"Wingull","Water Gun","Water Pulse","6.402","45.6","12","765"
"Tympole","Bubble","Water Pulse","5.744","56.3","10.7","839"
"Surskit","Bubble","Bubble Beam","5.77","55.1","10.6","791"
"Goomy","Water Gun","Muddy Water","5.356","67.5","10.4","976"
"Luvdisc","Water Gun","Water Pulse","5.032","69.9","8.9","848"
"Lotad","Water Gun","Bubble Beam","4.954","42.7","5.2","598"
"Wishiwashi (Solo Form)","Water Gun","Surf","4.486","25.8","2.3","346"
"Marill","Bubble","Aqua Tail","3.199","44.8","1.5","461"
"Azurill","Bubble","Bubble Beam","2.525","22.9","0.4","364"
