"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Koffing","Acid","Sludge Bomb","10.072","122.7","125.3","1214"
"Ariados","Poison Sting","Cross Poison","9.125","164.6","125","1772"
"Toxapex","Poison Jab","Gunk Shot","7.642","232.2","103.6","1685"
"Oddish","Acid","Sludge Bomb","9.245","116.5","92.1","1228"
"Bellsprout","Acid","Sludge Bomb","10.276","82.4","89.4","1033"
"Nidorina","Poison Sting","Sludge Bomb","8.247","144.5","81","1309"
"Koffing","Acid","Sludge Bomb","8.378","122.4","72","1214"
"Shadow Ekans","Acid","Sludge Bomb","9.601","78.4","69.3","927"
"Shadow Nidoran♂","Poison Sting","Sludge Bomb","9.322","71.1","57.6","860"
"Croagunk","Poison Jab","Sludge Bomb","8.716","82","54.3","952"
"Skrelp","Acid","Sludge Bomb","7.972","104.3","52.8","1063"
"Shadow Skorupi","Poison Sting","Sludge Bomb","7.914","102.6","50.8","1009"
"Whirlipede","Poison Sting","Sludge Bomb","6.961","122.6","41.4","1144"
"Ekans","Acid","Sludge Bomb","7.967","78","39.4","927"
"Shadow Nidoran♀","Poison Sting","Sludge Bomb","7.894","76.4","37.6","816"
"Salandit","Poison Jab","Poison Fang","7.703","75.7","34.6","1122"
"Nidoran♂","Poison Sting","Sludge Bomb","7.694","70.5","32.1","860"
"Skorupi","Poison Sting","Sludge Bomb","6.617","102.9","29.8","1009"
"Mareanie","Poison Sting","Gunk Shot","6.331","83.5","21.2","972"
"Nidoran♀","Poison Sting","Sludge Bomb","6.538","76","21.2","816"
"Spinarak","Poison Sting","Cross Poison","6.606","54.5","15.7","816"
"Venipede","Poison Sting","Sludge Bomb","6.127","56.7","13","706"
"Toxtricity","Acid","Acid Spray","4.889","103.1","12","2601"
"Eelektross","Acid","Acid Spray","3.986","98.4","6.2","2732"
"Accelgor","Acid","Acid Spray","4.036","77.5","5.1","2441"
