"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Grovyle","Bullet Seed","Leaf Blade","11.352","161.7","236.5","1673"
"Shadow Nuzleaf","Razor Leaf","Leaf Blade","12.317","123.9","231.5","1227"
"Comfey","Vine Whip","Grass Knot","9.728","239.1","220.1","2115"
"Shadow Gloom","Razor Leaf","Petal Blizzard","11.005","163.4","217.8","1681"
"Roselia","Razor Leaf","Petal Blizzard","10.824","166.7","211.4","1870"
"Shadow Bellsprout","Vine Whip","Power Whip","13.262","88.6","206.6","1033"
"Shadow Bayleef","Razor Leaf","Grass Knot","10.464","174.9","200.4","1454"
"Dartrix","Razor Leaf","Seed Bomb","9.075","194.9","145.7","1725"
"Shadow Jumpluff","Bullet Seed","Solar Beam","8.975","201.4","145.6","1636"
"Shadow Bulbasaur","Vine Whip","Power Whip","10.802","112.6","141.8","1115"
"Servine","Vine Whip","Grass Knot","9.129","179.9","136.8","1441"
"Gloom","Razor Leaf","Petal Blizzard","9.224","164.3","129","1681"
"Quilladin","Vine Whip","Energy Ball","8.882","180.2","126.3","1719"
"Shadow Porygon","Hidden Power (Grass)","Solar Beam","9.425","146.5","122.6","1720"
"Nuzleaf","Razor Leaf","Grass Knot","10.03","121.1","122.1","1227"
"Shadow Oddish","Razor Leaf","Seed Bomb","10.288","108.1","117.7","1228"
"Bayleef","Razor Leaf","Grass Knot","8.661","173.7","112.8","1454"
"Bellsprout","Vine Whip","Power Whip","10.867","87.1","111.8","1033"
"Shadow Lileep","Bullet Seed","Grass Knot","8.914","153.1","108.4","1291"
"Shadow Turtwig","Razor Leaf","Seed Bomb","9.546","111.1","96.6","1187"
"Jumpluff","Bullet Seed","Solar Beam","7.522","202.6","86.2","1636"
"Pumpkaboo - Super Size","Razor Leaf","Grass Knot","8.569","134.9","84.9","1250"
"Pumpkaboo - Large Size","Razor Leaf","Grass Knot","8.649","130.7","84.6","1244"
"Pumpkaboo - Average Size","Razor Leaf","Grass Knot","8.669","124.5","81.1","1222"
"Bulbasaur","Vine Whip","Power Whip","8.963","112.1","80.7","1115"
"Pumpkaboo - Small Size","Razor Leaf","Grass Knot","8.689","119","78.1","1202"
"Porygon","Hidden Power (Grass)","Solar Beam","7.895","147.3","72.5","1720"
"Lombre","Razor Leaf","Grass Knot","8.212","129.8","71.9","1197"
"Grookey","Razor Leaf","Grass Knot","8.949","100.1","71.7","1086"
"Shadow Chikorita","Vine Whip","Grass Knot","8.738","99","66","935"
"Oddish","Razor Leaf","Seed Bomb","8.498","107.1","65.7","1228"
"Lileep","Bullet Seed","Grass Knot","7.371","151.9","60.8","1291"
"Shadow Exeggcute","Bullet Seed","Seed Bomb","8.078","111.2","58.6","1175"
"Treecko","Bullet Seed","Grass Knot","8.551","87.3","54.6","1053"
"Floette","Vine Whip","Petal Blizzard","7.376","135.1","54.2","1532"
"Turtwig","Razor Leaf","Seed Bomb","7.88","110.1","53.9","1187"
"Shadow Skiploom","Bullet Seed","Grass Knot","7.987","100.4","51.2","976"
"Chespin","Vine Whip","Seed Bomb","7.627","104.4","46.3","1096"
"Chikorita","Vine Whip","Grass Knot","7.279","99","38.2","935"
"Rowlet","Razor Leaf","Seed Bomb","7.024","102.2","35.4","1058"
"Petilil","Hidden Power (Grass)","Seed Bomb","7.529","79.2","33.8","1030"
"Pansage","Vine Whip","Seed Bomb","7.329","84.3","33.2","956"
"Exeggcute","Bullet Seed","Seed Bomb","6.664","110.1","32.6","1175"
"Skiploom","Bullet Seed","Grass Knot","6.602","99.6","28.7","976"
"Fomantis","Razor Leaf","Leaf Blade","7.824","57.9","27.7","741"
"Budew","Razor Leaf","Grass Knot","6.842","79.5","25.5","856"
"Cherubi","Bullet Seed","Seed Bomb","6.825","72.5","23","950"
"Snivy","Vine Whip","Seed Bomb","6.343","76.8","19.6","849"
" Flabébé","Vine Whip","Petal Blizzard","6.071","80.8","18.1","1063"
"Steenee","Razor Leaf","Grass Knot","6.196","73.1","17.4","757"
"Shroomish","Bullet Seed","Grass Knot","5.659","83.5","15.1","810"
"Shadow Seedot","Bullet Seed","Grass Knot","6.658","47.8","14.1","598"
"Cottonee","Razor Leaf","Grass Knot","5.619","66.3","11.8","700"
"Shadow Hoppip","Bullet Seed","Grass Knot","6.187","49.1","11.6","600"
"Gossifleur","Razor Leaf","Grass Knot","5.582","62.2","10.8","672"
"Seedot","Bullet Seed","Grass Knot","5.499","47.4","7.9","598"
"Hoppip","Bullet Seed","Grass Knot","5.137","49","6.6","600"
"Lotad","Razor Leaf","Energy Ball","4.909","42.3","5","598"
"Sunkern","Razor Leaf","Grass Knot","4.808","27.3","3","395"
"Bounsweet","Razor Leaf","Energy Ball","4.084","32.9","2.2","470"
