"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Gumshoos","Bite","Crunch","9.864","191.9","184.2","2185"
"Exploud","Bite","Crunch","9.092","236.9","178.1","2347"
"Shadow Nuzleaf","Feint Attack","Foul Play","11.531","116","177.8","1227"
"Boltund","Bite","Crunch","9.861","184.8","177.3","2176"
"Shadow Carvanha","Bite","Crunch","14.066","62.8","174.8","1020"
"Amoonguss","Feint Attack","Foul Play","8.736","246.5","164.3","2140"
"Shadow Persian","Feint Attack","Foul Play","10.093","156.9","161.3","1689"
"Carnivine","Bite","Crunch","9.408","191.3","159.3","2159"
"Shadow Watchog","Bite","Crunch","10.111","153.1","158.2","1819"
"Morgrem","Bite","Foul Play","10.075","145.6","148.9","1442"
"Greedent","Bite","Crunch","8.199","267.6","147.5","2370"
"Shadow Houndour","Feint Attack","Dark Pulse","11.579","93.8","145.7","1234"
"Kecleon","Sucker Punch","Foul Play","8.777","211.2","142.8","2047"
"Shadow Pupitar","Bite","Crunch","9.631","154.2","137.7","1766"
"Furfrou","Bite","Dark Pulse","8.604","213","135.7","2111"
"Sableye","Feint Attack","Foul Play","9.349","148.9","121.7","1476"
"Bronzong","Feint Attack","Payback","8.021","231","119.2","2239"
"Arbok","Bite","Dark Pulse","8.735","173.1","115.4","1921"
"Alolan Raticate","Bite","Crunch","8.38","192.6","113.4","1705"
"Shadow Luxio","Bite","Crunch","10.088","109.1","112","1486"
"Krokorok","Bite","Crunch","9.737","120.6","111.4","1418"
"Zorua","Feint Attack","Foul Play","10.305","89.8","98.2","1175"
"Nuzleaf","Feint Attack","Foul Play","9.465","114.2","96.9","1227"
"Scraggy","Feint Attack","Foul Play","8.851","137.2","95.2","1372"
"Torracat","Bite","Crunch","8.978","130.9","94.7","1710"
"Persian","Feint Attack","Foul Play","8.367","156.1","91.4","1689"
"Carvanha","Bite","Crunch","11.406","61.1","90.7","1020"
"Watchog","Bite","Crunch","8.402","152.7","90.6","1819"
"Shadow Stunky","Bite","Crunch","9.545","101.4","88.2","1151"
"Alolan Grimer","Bite","Crunch","8.694","129.9","85.3","1374"
"Houndour","Feint Attack","Dark Pulse","9.557","92.9","81.1","1234"
"Pupitar","Bite","Crunch","8.001","153.7","78.7","1766"
"Shadow Snubbull","Bite","Crunch","8.955","88","63.2","1237"
"Luxio","Bite","Crunch","8.338","108.2","62.7","1486"
"Vullaby","Feint Attack","Foul Play","7.367","147.2","58.9","1271"
"Shadow Cacnea","Sucker Punch","Payback","9.193","71.9","55.9","1242"
"Gastly","Sucker Punch","Dark Pulse","9.533","63.5","55","1229"
"Shadow Bagon","Bite","Crunch","8.653","77.3","50.1","1156"
"Stunky","Bite","Crunch","7.887","100.6","49.3","1151"
"Sandile","Bite","Crunch","8.624","76.4","49","1037"
"Hisuian Growlithe","Bite","Crunch","7.586","95.8","41.8","1322"
"Snubbull","Bite","Crunch","7.401","87.3","35.4","1237"
"Cacnea","Sucker Punch","Payback","7.763","72.9","34.1","1242"
"Shadow Larvitar","Bite","Crunch","7.625","72.4","32.1","1040"
"Impidimp","Bite","Foul Play","7.747","64.6","30","807"
"Shadow Purrloin","Sucker Punch","Dark Pulse","8.017","55.5","28.6","772"
"Bagon","Bite","Crunch","7.175","76.9","28.4","1156"
"Sinistea","Sucker Punch","Dark Pulse","7.132","74.2","26.9","1139"
"Alolan Meowth","Bite","Foul Play","7.399","64.5","26.1","797"
"Bergmite","Bite","Crunch","6.338","95.6","24.3","1215"
"Shadow Poochyena","Snarl","Crunch","7.818","43.3","20.7","678"
"Shadow Meowth","Bite","Foul Play","7.111","51.6","18.6","748"
"Larvitar","Bite","Crunch","6.333","72.1","18.3","1040"
"Purrloin","Sucker Punch","Dark Pulse","6.645","55.2","16.2","772"
"Arrokuda","Bite","Crunch","6.552","53.8","15.1","903"
"Skwovet","Bite","Crunch","5.488","71.9","11.9","944"
"Poochyena","Snarl","Crunch","6.439","42.8","11.4","678"
"Meowth","Bite","Foul Play","5.951","51.8","10.9","748"
"Nickit","Snarl","Night Slash","5.579","50.7","8.8","714"
"Yamper","Bite","Crunch","4.774","58.4","6.4","788"
