"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Poliwhirl","Mud Shot","Mud Bomb","7.969","113.2","57.3","1419"
"Grimer","Mud Slap","Mud Bomb","7.276","108.7","41.9","1374"
"Vibrava","Mud Shot","Bulldoze","7.665","92.2","41.5","1225"
"Silicobra","Mud Slap","Earth Power","7.218","107.8","40.6","1081"
"Sandshrew","Mud Shot","Dig","7.23","103","38.9","1261"
"Sandile","Mud Slap","Bulldoze","8.106","71.8","38.3","1037"
"Gible","Mud Shot","Dig","7.346","83.8","33.2","1112"
"Poliwhirl","Mud Shot","Mud Bomb","6.607","112.6","32.5","1419"
"Shadow Cubone","Mud Slap","Bone Club","6.89","96.3","31.5","1019"
"Shadow Diglett","Mud Slap","Mud Bomb","8.262","36.4","20.5","676"
"Shadow Alolan Diglett","Mud Slap","Mud Bomb","8.183","37.3","20.4","681"
"Cubone","Mud Slap","Bone Club","5.741","96.3","18.2","1019"
"Shellos","Mud Slap","Mud Bomb","5.711","94.2","17.5","1136"
"Shadow Poliwag","Mud Shot","Mud Bomb","6.626","50.2","14.6","829"
"Barboach","Mud Shot","Mud Bomb","6.119","62.6","14.3","819"
"Shadow Wooper","Mud Shot","Mud Bomb","6.432","48.5","12.9","641"
"Diglett","Mud Slap","Mud Bomb","6.869","36.4","11.8","676"
"Alolan Diglett","Mud Slap","Mud Bomb","6.807","37.2","11.7","681"
"Tympole","Mud Shot","Mud Bomb","5.418","53.2","8.5","839"
"Poliwag","Mud Shot","Mud Bomb","5.489","49.9","8.2","829"
"Binacle","Mud Slap","Dig","4.995","64.6","8","946"
"Wooper","Mud Shot","Mud Bomb","5.299","48","7.1","641"
"Bunnelby","Mud Slap","Earthquake","3.951","31.2","1.9","553"
